,x,y,r,g,b,tipo
0,0,0,169,187,197,1
1,0,1,171,189,199,1
2,0,2,172,190,200,1
3,0,3,172,190,200,1
4,0,4,172,189,199,1
5,0,5,171,188,198,1
6,0,6,170,187,197,1
7,0,7,171,188,196,1
8,0,8,176,193,201,1
9,0,9,175,192,200,1
10,0,10,174,191,199,1
11,0,11,174,191,199,1
12,0,12,175,192,200,1
13,0,13,176,193,201,1
14,0,14,179,193,202,1
15,0,15,179,193,202,1
16,0,16,179,194,201,1
17,0,17,181,196,203,1
18,0,18,183,196,204,1
19,0,19,183,196,204,1
20,0,20,182,195,203,1
21,0,21,183,196,204,1
22,0,22,186,199,207,1
23,0,23,190,203,211,1
24,0,24,189,202,208,1
25,0,25,186,199,205,1
26,0,26,187,200,206,1
27,0,27,191,204,210,1
28,0,28,192,205,211,1
29,0,29,188,201,207,1
30,0,30,185,198,204,1
31,0,31,185,198,204,1
32,0,32,185,198,204,1
33,0,33,188,199,205,1
34,0,34,188,199,205,1
35,0,35,187,198,204,1
36,0,36,185,196,202,1
37,0,37,184,195,201,1
38,0,38,185,196,202,1
39,0,39,187,198,204,1
40,0,40,183,194,200,1
41,0,41,187,198,204,1
42,0,42,187,198,204,1
43,0,43,184,195,201,1
44,0,44,185,196,202,1
45,0,45,189,200,206,1
46,0,46,189,200,206,1
47,0,47,186,197,203,1
48,0,48,184,199,204,1
49,0,49,181,196,201,1
50,0,50,184,199,204,1
51,0,51,186,201,206,1
52,0,52,181,196,203,1
53,0,53,181,194,202,1
54,0,54,184,197,205,1
55,0,55,185,198,206,1
56,0,56,186,199,207,1
57,0,57,186,199,207,1
58,0,58,188,201,209,1
59,0,59,188,201,209,1
60,0,60,188,201,209,1
61,0,61,189,202,210,1
62,0,62,187,200,208,1
63,0,63,180,193,201,1
64,0,64,184,197,205,1
65,0,65,184,197,205,1
66,0,66,185,198,206,1
67,0,67,186,199,207,1
68,0,68,187,200,208,1
69,0,69,186,201,208,1
70,0,70,186,201,208,1
71,0,71,185,200,207,1
72,0,72,186,201,208,1
73,0,73,183,198,205,1
74,0,74,182,197,204,1
75,0,75,184,199,206,1
76,0,76,186,201,208,1
77,0,77,184,199,206,1
78,0,78,183,198,205,1
79,0,79,183,198,205,1
80,0,80,178,195,203,1
81,0,81,176,193,201,1
82,0,82,175,192,200,1
83,0,83,175,192,200,1
84,0,84,175,192,200,1
85,0,85,175,193,203,1
86,0,86,176,194,204,1
87,0,87,176,194,204,1
88,0,88,174,192,202,1
89,0,89,176,194,204,1
90,0,90,176,194,204,1
91,0,91,174,192,202,1
92,0,92,175,192,200,1
93,0,93,177,194,202,1
94,0,94,178,195,203,1
95,0,95,176,193,201,1
96,0,96,175,194,201,1
97,0,97,175,194,201,1
98,0,98,173,192,199,1
99,0,99,173,190,198,1
100,0,100,174,191,199,1
101,0,101,176,193,201,1
102,0,102,177,194,202,1
103,0,103,175,192,200,1
104,0,104,176,193,201,1
105,0,105,181,198,206,1
106,0,106,182,196,205,1
107,0,107,181,195,204,1
108,0,108,182,196,205,1
109,0,109,180,194,203,1
110,0,110,178,192,201,1
111,0,111,180,197,205,1
112,0,112,183,196,204,1
113,0,113,182,197,204,1
114,0,114,182,197,204,1
115,0,115,182,196,205,1
116,0,116,180,197,205,1
117,0,117,177,195,205,1
118,0,118,174,192,202,1
119,0,119,172,190,200,1
120,0,120,171,191,202,1
121,0,121,175,195,206,1
122,0,122,172,191,205,1
123,0,123,164,186,199,1
124,0,124,165,187,201,1
125,0,125,167,189,203,1
126,0,126,166,188,202,1
127,0,127,163,186,202,1
128,0,128,165,188,202,1
129,0,129,165,188,204,1
130,0,130,165,188,204,1
131,0,131,166,189,205,1
132,0,132,167,190,206,1
133,0,133,167,190,206,1
134,0,134,167,190,206,1
