,x,y,r,g,b,tipo
0,0,0,100,124,100,2
1,0,1,106,131,109,2
2,0,2,76,106,80,2
3,0,3,92,127,95,2
4,0,4,132,166,129,2
5,0,5,108,140,101,2
6,0,6,112,142,106,2
7,0,7,89,122,91,2
8,0,8,49,91,69,2
9,0,9,52,96,81,2
10,0,10,51,83,70,2
11,0,11,67,90,74,2
12,0,12,70,86,59,2
13,0,13,119,136,100,2
14,0,14,123,154,110,2
15,0,15,92,129,85,2
16,0,16,96,126,92,2
17,0,17,124,155,123,2
18,0,18,112,151,120,2
19,0,19,94,137,107,2
20,0,20,70,114,87,2
21,0,21,70,109,88,2
22,0,22,89,117,102,2
23,0,23,57,78,61,2
24,0,24,85,99,76,2
25,0,25,101,114,88,2
26,0,26,84,99,76,2
27,0,27,73,91,67,2
28,0,28,65,83,61,2
29,0,29,110,126,100,2
30,0,30,144,156,116,2
31,0,31,141,152,109,2
32,0,32,117,125,84,2
33,0,33,138,150,112,2
34,0,34,127,147,112,2
35,0,35,83,110,75,2
36,0,36,110,147,106,2
37,0,37,83,124,84,2
38,0,38,66,102,74,2
39,0,39,54,89,67,2
40,0,40,42,74,61,2
41,0,41,95,128,109,2
42,0,42,98,135,104,2
43,0,43,76,114,75,2
44,0,44,77,112,72,2
45,0,45,91,123,84,2
46,0,46,85,115,81,2
47,0,47,85,116,82,2
48,0,48,99,137,96,2
49,0,49,91,136,93,2
50,0,50,78,124,85,2
51,0,51,64,104,67,2
52,0,52,66,93,60,2
53,0,53,110,135,103,2
54,0,54,64,94,66,2
55,0,55,66,102,76,2
56,0,56,110,139,119,2
57,0,57,113,145,124,2
58,0,58,77,114,96,2
59,0,59,66,104,83,2
60,0,60,84,118,93,2
61,0,61,95,126,94,2
62,0,62,125,156,112,2
63,0,63,124,155,111,2
64,0,64,107,141,108,2
65,0,65,75,109,74,2
66,0,66,93,124,82,2
67,0,67,108,134,95,2
68,0,68,84,100,74,2
69,0,69,114,130,104,2
70,0,70,106,129,87,2
71,0,71,114,139,97,2
72,0,72,84,109,80,2
73,0,73,94,114,87,2
74,0,74,144,159,120,2
75,0,75,141,158,113,2
76,0,76,97,115,75,2
77,0,77,117,142,102,2
78,0,78,134,166,125,2
79,0,79,89,126,82,2
80,0,80,109,141,100,2
81,0,81,122,154,113,2
82,0,82,107,135,95,2
83,0,83,106,137,103,2
84,0,84,98,133,109,2
85,0,85,64,96,75,2
86,0,86,107,133,104,2
87,0,87,109,135,100,2
88,0,88,104,132,92,2
89,0,89,95,129,96,2
90,0,90,65,95,83,2
91,0,91,48,73,69,2
92,0,92,95,117,96,2
93,0,93,124,145,114,2
94,0,94,151,173,135,2
95,0,95,111,132,89,2
96,0,96,116,131,88,2
97,0,97,138,147,100,2
98,0,98,165,173,122,2
99,0,99,158,166,117,2
100,0,100,125,136,96,2
101,0,101,130,141,99,2
102,0,102,150,159,106,2
103,0,103,184,201,147,2
104,0,104,144,171,128,2
105,0,105,95,126,85,2
106,0,106,84,110,73,2
107,0,107,123,145,106,2
108,0,108,169,191,144,2
109,0,109,149,167,117,2
110,0,110,149,161,115,2
111,0,111,137,149,109,2
112,0,112,105,126,95,2
113,0,113,114,135,102,2
114,0,114,137,150,106,2
115,0,115,138,156,108,2
116,0,116,100,127,96,2
117,0,117,73,107,80,2
118,0,118,57,96,69,2
119,0,119,79,118,87,2
120,0,120,98,134,98,2
121,0,121,73,109,73,2
122,0,122,118,157,126,2
123,0,123,70,110,84,2
124,0,124,49,86,69,2
125,0,125,36,68,53,2
126,0,126,67,94,75,2
127,0,127,101,125,99,2
128,0,128,109,133,99,2
129,0,129,133,155,117,2
130,0,130,140,158,120,2
131,0,131,133,153,118,2
132,0,132,94,120,93,2
133,0,133,65,98,71,2
134,0,134,59,96,65,2
135,0,135,43,80,47,2
136,0,136,81,115,80,2
137,0,137,112,141,110,2
138,0,138,97,112,89,2
139,0,139,92,105,85,2
140,0,140,112,122,98,2
141,0,141,118,130,106,2
142,0,142,118,138,110,2
143,0,143,88,117,89,2
144,0,144,108,143,123,2
145,0,145,78,113,91,2
146,0,146,82,112,76,2
147,0,147,131,163,122,2
148,0,148,78,117,86,2
149,0,149,72,111,84,2
150,0,150,82,112,88,2
151,0,151,124,152,127,2
152,0,152,144,173,142,2
153,0,153,95,127,90,2
154,0,154,138,166,118,2
155,0,155,100,128,79,2
156,0,156,93,124,80,2
157,0,157,107,139,98,2
158,0,158,106,138,99,2
159,0,159,115,145,107,2
160,0,160,105,129,97,2
161,0,161,138,158,130,2
162,0,162,115,142,111,2
163,0,163,92,127,95,2
164,0,164,85,129,94,2
165,0,165,91,135,102,2
166,0,166,93,132,105,2
167,0,167,95,127,104,2
168,0,168,116,145,117,2
169,0,169,92,125,96,2
170,0,170,75,118,90,2
171,0,171,65,114,85,2
172,0,172,63,116,90,2
173,0,173,47,100,72,2
174,0,174,91,137,101,2
175,0,175,84,129,90,2
176,0,176,79,124,85,2
177,0,177,70,114,78,2
178,0,178,60,104,71,2
179,0,179,80,124,89,2
